,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
761,ESSEX AGRCLTL-TECHNICAL HIGH SCHL DIST,PO BOX 362,HATHORNE,MA,1937,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,251 TO 500,NOT APPLICABLE,1,UNCODED,PUBLIC,251 TO 500,102.0
762,HOGAN REGIONAL CENTER-RESIDENTIAL TRTMNT,PO BOX A,HATHORNE,MA,1937,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,COMPASS,UNCODED,51 TO 100,102.0
763,IPSWICH PUBLIC SCHOOL DISTRICT,1 LORD SQ,IPSWICH,MA,1938,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
764,CALDWELL SKILLED NURSING AND REHAB CTR,16 GREEN ST,IPSWICH,MA,1938,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,50.0
765,LYNNFIELD COUNCIL ON AGING SENIOR CENTER,525 SALEM ST,LYNNFIELD,MA,1940,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
766,MANCHESTER ESSEX REGIONAL SCHOOL DIST,PO BOX 1407,MANCHESTER,MA,1944,25009,ESSEX,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
767,MANCHESTER ESSEX REG MIDDLE / HIGH SCH,36 LINCOLN ST,MANCHESTER,MA,1944,25009,ESSEX,1122.0,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,102.0
768,MARBLEHEAD CHILDRENS CENTER,21 TIOGA WAY,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
769,MARBLEHEAD COUNSELING CENTER-SBSTNC ABS,66 CLIFTON AVE,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
770,MARBLEHEAD COA SENIOR CENTER,10 HUMPHREY ST,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
771,DEVEREUX HOUSE NURSING HOME,39 LAFAYETTE ST,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,61.0
772,LAFAYETTE CONVALESCENT HOME,25 LAFAYETTE ST,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63.0
773,JEWISH COMMUNITY CTR-NORTH SHORE CC,4 COMMUNITY RD,MARBLEHEAD,MA,1945,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
774,ESSEX COUNTY JAIL-SHERIFFS OFFICE,PO BOX 807,MIDDLETON,MA,1949,25009,ESSEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
775,TURNING POINT SUBSTANCE ABUSE SERVICES,PO BOX 548,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
776,LINK HOUSE SUBSTANCE ABUSE SERVICES,37 WASHINGTON ST,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
777,NEWBURYPORT MONTESSORI SCHOOL INC,20 PLEASANT ST,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
778,BRIGHAM MANOR NURSING AND REHAB CENTER,77 HIGH ST,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,64.0
779,PORT HEALTHCARE CENTER,113 LOW ST,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94.0
780,ANNA JAQUES HOSPITAL SUBACUTE UNIT,25 HIGHLAND AVE,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,25.0
781,MULBERRY CHILD CARE AND PRESCHOOL,1 DANIEL LUCY WAY,NEWBURYPORT,MA,1950,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
782,HARBOR SCHOOLS-RESIDENTIAL CENTER,26 ROLFES LN,NEWBURY,MA,1951,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
783,WILLIAM HILTON SENIOR CENTER,43 LAFAYETTE RD,SALISBURY,MA,1952,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
784,PEABODY KINDERCARE LEARNING CENTER,520 LOWELL ST,PEABODY,MA,1960,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
785,RENAISSANCE GARDENS AT BROOKSBY VILLAGE,400 BROOKSBY VILLAGE DR,PEABODY,MA,1960,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,98.0
786,PEABODY GLEN HEALTH CARE CENTER,199 ANDOVER ST,PEABODY,MA,1960,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,130.0
787,ROSEWOOD NURSING-REHABILITATION CENTER,22 JOHNSON ST,PEABODY,MA,1960,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128.0
788,CATHOLIC CHARITIES-PEABODY CHILDCARE,13 PULASKI ST,PEABODY,MA,1960,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
789,PILGRIM REHAB-SKILLED NURSING FACILITY,96 FOREST ST,PEABODY,MA,1960,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,128.0
790,PETER A TORIGIAN COMM LIFE-SENIOR CTR,79 CENTRAL ST,PEABODY,MA,1960,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
791,KINDRED HOSPITAL-BOSTON NORTH SHORE,15 KING ST,PEABODY,MA,1960,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,102.0
792,INN TRANSITION-SUBSTANCE ABUSE TREATMENT,42 WASHINGTON ST,PEABODY,MA,1960,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
793,RAINBOW NURSING CENTER,210 LOWELL ST,PEABODY,MA,1960,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0
794,PEABODY PUBLIC SCHOOL DISTRICT,21 JOHNSON ST,PEABODY,MA,1960,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
795,LANDMARK SCHOOL RESIDENTIAL TREATMENT,PO BOX 227,PRIDES CROSSING,MA,1965,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
796,DEN-MAR REHAB AND NURSING CENTER,44 SOUTH ST,ROCKPORT,MA,1966,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,70.0
797,SEA VIEW RETREAT,PO BOX 277,ROWLEY,MA,1969,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,52.0
798,HEALTH ED SVC-SOLSTICE ADOLESCENT PROG,PO BOX 522,ROWLEY,MA,1969,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
799,ROWLEY COUNCIL AGING SENIOR CENTER,PO BOX 523,ROWLEY,MA,1969,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
800,SALEM PUBLIC SCHOOL DISTRICT,29 HIGHLAND AVE,SALEM,MA,1970,25009,ESSEX,1122.0,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
801,NORTH SHORE CHILDRENS HOSPITAL,57 HIGHLAND AVE,SALEM,MA,1970,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
802,NORTH SHORE MEDICAL CENTER SALEM CAMPUS,81 HIGHLAND AVE,SALEM,MA,1970,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,UNCODED,>2000,102.0
803,SHAUGHNESSY-KAPLAN REHAB HOSPITAL SNF,1 DOVE AVE,SALEM,MA,1970,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,ARAMARK,PUBLIC,501 TO 1000,33.0
804,SALEM COUNCIL ON AGING SENIOR CENTER,5 BROAD ST,SALEM,MA,1970,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
805,HEALTH-EDUCATION SERVICES-OTPTNT AODA,162 FEDERAL ST,SALEM,MA,1970,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
806,SALEM YMCA EARLY LEARNING AND AFTER SCHL,1 SEWALL ST,SALEM,MA,1970,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
807,GROSVENOR PARK NURSING CENTER,7 LORING HILLS AVE,SALEM,MA,1970,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,121.0
808,NSMC OUTPATIENT MENTAL HEALTH SVCS-AODA,172 LAFAYETTE ST,SALEM,MA,1970,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
809,SALEM STATE COLLEGE,352 LAFAYETTE ST,SALEM,MA,1970,25009,ESSEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,102.0
810,CASP-SUBSTANCE ABUSE TREATMENT PROGRAMS,27 CONGRESS ST,SALEM,MA,1970,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
811,PINGREE EXPERIENCE CAMP,537 HIGHLAND ST,SOUTH HAMILTON,MA,1982,25009,ESSEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
812,PINGREE SCHOOL,537 HIGHLAND ST,SOUTH HAMILTON,MA,1982,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
813,GORDON-CONWELL THEOLOGICAL SEMINARY,130 ESSEX ST,SOUTH HAMILTON,MA,1982,25009,ESSEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,UNCODED,1001 TO 2000,102.0
814,MASCONOMET HEALTHCARE CENTER,123 HIGH ST,TOPSFIELD,MA,1983,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119.0
815,MASCONOMET REGIONAL MIDDLE SCHOOL,20 ENDICOTT RD,TOPSFIELD,MA,1983,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,102.0
816,HAMILTON-WENHAM REGIONAL SCHOOL DISTRICT,5 SCHOOL ST,WENHAM,MA,1984,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
817,GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,1984,25009,ESSEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,1001 TO 2000,102.0
818,PENTUCKET MIDDLE SCHOOL,20 MAIN ST,WEST NEWBURY,MA,1985,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
819,PENTUCKET REGIONAL SCHOOL DISTRICT,22 MAIN ST,WEST NEWBURY,MA,1985,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
820,WEE FOLK LEARNING CENTER,1178 S MAIN ST,BELLINGHAM,MA,2019,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
821,BELLINGHAM SENIOR CENTER,40 BLACKSTONE ST,BELLINGHAM,MA,2019,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
822,BELLINGHAM PUBLIC SCHOOL,60 HARPIN ST,BELLINGHAM,MA,2019,25021,NORFOLK,1122.0,PRIMARY SCHOOL,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,102.0
823,CANTON SENIOR CENTER,PO BOX 54,CANTON,MA,2021,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
824,COLE HARRINGTON SCHOOL AGE ENRICHMENT,55 PECUNIT ST,CANTON,MA,2021,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
825,BLUE HILLS REGIONAL VOCATIONAL SCH DIST,800 RANDOLPH ST,CANTON,MA,2021,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,102.0
826,HELLENIC NURSING REHAB CENTER,601 SHERMAN ST,CANTON,MA,2021,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,151.0
827,MASSACHUSETTS HOSPITAL SCHOOL,3 RANDOLPH ST,CANTON,MA,2021,25021,NORFOLK,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,102.0
828,TOWER HILL CENTER FOR HEALTH AND REHAB,1 MEADOWBROOK WAY,CANTON,MA,2021,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,144.0
829,CANTON PUBLIC SCHOOLS,960 WASHINGTON ST,CANTON,MA,2021,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
830,MULBERRY CHILD CARE CENTERS INC,440 TURNPIKE ST,CANTON,MA,2021,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
831,ORCHARD COVE,1 DEL POND DR,CANTON,MA,2021,25021,NORFOLK,1122.0,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,45.0
832,COHASSET KNOLL SKILLED NURSING REHAB FAC,1 CHIEF JUSTICE CUSHING HWY,COHASSET,MA,2025,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,60.0
833,NOBLES DAY CAMP,10 CAMPUS DR,DEDHAM,MA,2026,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,COMPASS,UNCODED,>2000,102.0
834,NORFOLK COUNTY COR CTR-SHERIFF DEPT,200 WEST ST,DEDHAM,MA,2026,25021,NORFOLK,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,102.0
835,HIGHGATE MANOR,10 CAREMATRIX DR,DEDHAM,MA,2026,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0
836,GOLDEN LIVING CENTER,1007 EAST ST,DEDHAM,MA,2026,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,115.0
837,DOVER COUNCIL ON AGING-SENIOR CENTER,PO BOX 250,DOVER,MA,2030,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
838,SUPERVISORY UNION 50,9 JUNCTION ST,DOVER,MA,2030,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
839,LEAGUE SCHOOL-GRTR BOSTON RSDNTL TRTMNT,300 PROVIDENCE HWY,EAST WALPOLE,MA,2032,25021,NORFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
840,CAMP WAZIYATAH,19 VOSE LN,EAST WALPOLE,MA,2032,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
841,HESS COUNTY ELDER SERVICES IN FOXBORO,90 N CARL ANNON CT,FOXBORO,MA,2035,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
842,FOXBOROUGH PUBLIC SCHOOL DISTRICT,60 SOUTH ST,FOXBORO,MA,2035,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
843,KENNEDY-DONOVAN CENTER,1 COMMERCIAL ST,FOXBORO,MA,2035,25021,NORFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
844,CGSH-THE NORCAP LODGE-SBSTNC ABUSE SVCS,71 WALNUT ST,FOXBORO,MA,2035,25021,NORFOLK,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
845,FRANKLIN PUBLIC SCHOOL DISTRICT,355 E CENTRAL ST,FRANKLIN,MA,2038,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
846,DEAN COLLEGE,99 MAIN ST,FRANKLIN,MA,2038,25021,NORFOLK,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,102.0
847,FRANKLIN SENIOR CENTER,80 W CENTRAL ST,FRANKLIN,MA,2038,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
848,NEXT GENERATION CHILDRENS CENTER,831 W CENTRAL ST,FRANKLIN,MA,2038,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
849,BRIGHT HORIZONS CHILD DEVELOPMENT CENTER,75 SGT WILLIAM B TERRY DR,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
850,PROJECT TURNABOUT INC-SUBSTANCE ABUSE,224 BEAL ST,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
851,HARBOR HOUSE REHAB-NURSING CTR,11 CONDITO RD,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0
852,HINGHAM PUBLIC SCHOOL DISTRICT,220 CENTRAL ST,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
853,QUEEN ANNES NURSING HOME,50 RECREATION PARK DR,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,104.0
854,DEERFIELD SENIOR ADC-HINGHAM,20 POND PARK RD,HINGHAM,MA,2043,25023,PLYMOUTH,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,102.0
855,HULL PUBLIC SCHOOLS,7 HADASAH WAY,HULL,MA,2045,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
856,MANSFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 232,MANSFIELD,MA,2048,25005,BRISTOL,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
